"","Date","PIT","Frecuencia","Latitud","Longitud","LC_cm","Days_ellapsed"
"1",2015-08-11,48036828,"150,040",-0.819466667,-90.06161667,34.8,45
"2",2016-06-26,48036828,"150,040",-0.81948,-90.06092,39.1,365
"3",2017-06-09,48036828,"150,040",-0.81957,-90.0612,42.7,713
"4",2015-08-11,51783790,"150,059",-0.8192,-90.06001667,NA,45
"5",2016-06-26,51783790,"150,059",-0.8194,-90.06145,38.2,365
"6",2017-06-13,51783790,"150,059",-0.81456,-90.07034,43,717
"7",2015-08-11,48073378,"150,081",-0.819266667,-90.0592,34.8,45
"8",2016-06-26,48073378,"150,081",-0.8194,-90.05927,40.1,365
"9",2015-08-11,48367880,"150,100",-0.8188,-90.05931667,31.9,45
"10",2016-06-26,48367880,"150,100",-0.81796,-90.05866,36,365
"11",2017-06-13,48367880,"150,100",-0.81784,-90.05651,40.1,717
"12",2015-08-11,48280279,"150,121",-0.81929,-90.06001,35,45
"13",2016-06-25,48280279,"150,121",-0.81957,-90.06004,40,364
"14",2016-06-25,48300349,"150,141",-0.82037,-90.05926,37.5,364
"15",2015-08-11,48345639,"150,161",-0.82075,-90.05961667,35.3,45
"16",2016-06-25,48345639,"150,161",-0.82037,-90.05926,39.6,364
"17",2017-06-11,48345639,"150,161",-0.81929,-90.05845,NA,715
"18",2015-08-13,48041550,"150,181",-0.81966,-90.06414,34.02,47
"19",2015-08-12,48367042,"150,201",-0.81852,-90.06689,32.5,46
"20",2016-06-26,48367042,"150,201",-0.82279,-90.06781,35.1,365
"21",2016-06-26,48027821,"150,221",-0.82005,-90.06009,39.5,365
"22",2015-08-12,48346033,"150,240",-0.82209,-90.06065,NA,46
"23",2016-06-26,48346033,"150,240",-0.82527,-90.06445,38.6,365
"24",2017-06-09,48346033,"150,240",-0.83331,-90.06055,43.3,713
"25",2015-08-11,48368071,"150,280",-0.82005,-90.06021667,34.5,45
"26",2016-06-26,48368071,"150,280",-0.81549,-90.06227,39,365
"27",2017-06-11,48368071,"150,280",-0.81631,-90.05991,43.5,715
"28",2015-08-11,48311854,"150,360",-0.81978,-90.05957,34.4,45
"29",2016-06-26,48311854,"150,360",-0.81986,-90.05978,39.3,365
"30",2017-06-11,48311854,"150,360",-0.81919,-90.05601,43,715
"31",2015-08-11,48328355,"150,380",-0.820016667,-90.06071667,25.3,45
"32",2016-06-26,48328355,"150,380",-0.8196,-90.06155,29,365
"33",2017-06-13,48328355,"150,380",-0.81659,-90.06694,33.7,717
"34",2015-08-11,48075313,"150,420",-0.81963,-90.05153,NA,45
"35",2016-06-26,48075313,"150,420",-0.81968,-90.05956,36.6,365
"36",2017-06-13,48075313,"150,420",-0.81144,-90.06686,39.4,717
"37",2015-08-11,48037325,"150,441",-0.82174,-90.06303,32.2,45
"38",2016-06-26,48037325,"150,441",-0.82137,-90.06264,37,365
"39",2017-06-13,48037325,"150,441",-0.81386,-90.06921,40.7,717
"40",2015-08-11,NA,"150,481",-0.82026,-90.05956,NA,45
"41",2016-06-26,NA,"150,481",-0.82032,-90.05932,38,365
"42",2015-08-11,48074326,"150,520",-0.82086,-90.06215,NA,45
"43",2016-06-26,48074326,"150,520",-0.8208,-90.062,35.5,365
"44",2015-08-11,48309561,"150,540",-0.819116667,-90.05953333,35.7,45
"45",2016-06-26,48309561,"150,540",-0.82412,-90.06884,40,365
"46",2015-08-11,48072302,"150,561",-0.824466667,-90.06076667,33.5,45
"47",2016-06-25,48072302,"150,561",-0.81962,-90.05814,38.1,364
"48",2015-08-11,48312363,"150,581",-0.81948,-90.06046,35.1,45
"49",2016-06-26,48312363,"150,581",-0.81948,-90.06092,39.3,365
"50",2016-06-25,48065632,"150,661",-0.82024,-90.06038,38.3,364
"51",2015-08-11,48367602,"150,681",-0.82088,-90.06026,NA,45
"52",2016-06-25,48367602,"150,681",-0.81953,-90.05968,40.8,364
"53",2015-08-11,48319324,"150,741",-0.82092,-90.06013,NA,45
"54",2016-06-25,48319324,"150,741",-0.82079,-90.06078,36.8,364
"55",2015-08-11,48280264,"150,762",-0.82147,-90.061,NA,45
"56",2016-06-26,48280264,"150,762",-0.83018,-90.06738,38.2,365
"57",2017-06-09,48280264,"150,762",-0.82695,-90.06362,42.4,713
"58",2015-08-11,48318085,"150,818",-0.82148,-90.06171,35.6,45
"59",2016-06-25,48318085,"150,818",-0.82209,-90.0603,39.3,364
"60",2016-06-25,48027821,"150,841",-0.8206,-90.05966,39.6,364
"61",2017-06-09,48300349,"150,141",-0.81528,-90.07108,41.2,713
"62",2015-08-11,48275040,"150,861",-0.82084,-90.05893,31.5,45
"63",2016-06-26,48275840,"150,861",-0.81777,-90.05773,35.2,365
"64",2015-08-11,48344016,"150,921",-0.82087,-90.06117,NA,45
"65",2016-06-26,48344016,"150,921",-0.81961,-90.06031,36.8,365
"66",2015-08-11,48284579,"150,981",-0.82231,-90.0601,NA,45
"67",2016-06-25,48284579,"150,981",-0.82268,-90.0592,38.6,364
"68",2015-06-27,48036828,"150,040",-0.82076,-90.060063,NA,0
"69",2015-06-27,51783790,"150,059",-0.82076,-90.060063,NA,0
"70",2015-06-27,48073378,"150,081",-0.82076,-90.060063,NA,0
"71",2015-06-27,48367880,"150,100",-0.82076,-90.060063,NA,0
"72",2015-06-27,48280279,"150,121",-0.82076,-90.060063,NA,0
"73",2015-06-27,48300349,"150,141",-0.82076,-90.060063,NA,0
"74",2015-06-27,48345639,"150,161",-0.82076,-90.060063,NA,0
"75",2015-06-27,48041550,"150,181",-0.82076,-90.060063,NA,0
"76",2015-06-27,48367042,"150,201",-0.82076,-90.060063,NA,0
"77",2015-06-27,48027821,"150,221",-0.82076,-90.060063,NA,0
"78",2015-06-27,48346033,"150,240",-0.82076,-90.060063,NA,0
"79",2015-06-27,48368071,"150,280",-0.82076,-90.060063,NA,0
"80",2015-06-27,48311854,"150,360",-0.82076,-90.060063,NA,0
"81",2015-06-27,48328355,"150,380",-0.82076,-90.060063,NA,0
"82",2015-06-27,48075313,"150,420",-0.82076,-90.060063,NA,0
"83",2015-06-27,48037325,"150,441",-0.82076,-90.060063,NA,0
"84",2015-06-27,NA,"150,481",-0.82076,-90.060063,NA,0
"85",2015-06-27,48074326,"150,520",-0.82076,-90.060063,NA,0
"86",2015-06-27,48309561,"150,540",-0.82076,-90.060063,NA,0
"87",2015-06-27,48072302,"150,561",-0.82076,-90.060063,NA,0
"88",2015-06-27,48312363,"150,581",-0.82076,-90.060063,NA,0
"89",2015-06-27,48065632,"150,661",-0.82076,-90.060063,NA,0
"90",2015-06-27,48367602,"150,681",-0.82076,-90.060063,NA,0
"91",2015-06-27,48319324,"150,741",-0.82076,-90.060063,NA,0
"92",2015-06-27,48280264,"150,762",-0.82076,-90.060063,NA,0
"93",2015-06-27,48318085,"150,818",-0.82076,-90.060063,NA,0
"94",2015-06-27,48275040,"150,841",-0.82076,-90.060063,NA,0
"95",2015-06-27,48275840,"150,861",-0.82076,-90.060063,NA,0
"96",2015-06-27,48344016,"150,921",-0.82076,-90.060063,NA,0
"97",2015-06-27,48284579,"150,981",-0.82076,-90.060063,NA,0
